AUTHOR,TOTAL BOOKS,BOOK TITLES
Malhotra Book Depot,1,Sample papers Science
"Malhotra, A",1,Brainwave: General Knowledge
"Malhotra, A and Sharma, S",2,"Empowering Science,Empowering Science"
"Malhotra, A, Chatterji, A and Arora, J",3,"Empowering science with Environment Education,Empowering Science with Environment Education,Empowering science with Environment Education"
"Malhotra, A.",1,Empowering Science With Environmental Education
"Malhotra, G",2,"My New Book Of Environmental Studies : Revised and uodate with Activity Sheets,Our Living World: A Book of Evvironmental Studies"
"Malhotra, Hemant",2,"CBSE chapterwise solution mathematics,CBSE Sample Papers Mathematics"
"Malhotra, Jyoti",1,"New era english communicative: course A, class 10"
"Malhotra, S",2,"Interactive Science,Physics"
"Malhotra, S and Jauhar, M",1,ABC of Science
"Malhotra, S and Verma, Y P",2,"Systematic Mathematics,Systematic Mathematics"
"Malhotra, S K",10,"Chemistry: super simplified science,Chemistry: super simplified science,Dinesh companion chemistry vol 1,Dinesh companion chemistry vol 2,Summative Assessment test papers in Social science:Physics, Chemistry and Biology,Super simplified science : chemistry 10,Super Simplified Science Chemistry,Super Simplified Science Chemistry,Super Simplified Science Chemistry,Super simplified science chemistry 10"
"Malhotra, S K, Verma, Y P and Madhav, A",1,Systematic Mathematics
"Malhotra, S K?et all",3,"Summative Assessment test Papers in Science,Summative Assessment test papers in science,Summative Assessment test papers in science: Physics, Chemistry and Biology"
"Malhotra, S S and Malhotra, S",8,"ABC of Mathematics,ABC of Mathematics,ABC of Mathematics,ABC of Mathematics,ABC of Mathematics,ABC of Mathematics,ABC of Mathematics,ABC of Mathematics"
"Malhotra, S.",6,"Candid Interactive Science,Frank CCE Primary Mathematics,Learn ''n'' Mathematics Tear Away Worksheets,Learn ''n'' Play Mathematics,Mathematics,Primary Mathematics"
"Malhotra, S.K.",4,"Super simolified science chemistry, term-1 &2,Super simplified chemistry, Term 1& 2,Super simplified chemistry, Term 1& 2,Super simplified science Chemistry 10"
"Malhotra, S.S.",1,ABC of Mathematics
"Malhotra, Satinder",4,"New era chemistry: textbook for class 10,New era chemistry: textbook for class 9,Science part-2 :Chemistry, Class 10,Science part-2 :Chemistry, Class 9"
"Malhotra, Vinita",1,New trands in social studies
"Malik, Divya",2,"Laboratory manual: Mathematics,  class 10, term 1 & 2,Laboratory manual: Mathematics,  class 9, term 1 & 2"
"Malik, M and Aggarwal, M",1,Social Science
"Malik, R S",2,"Skill- Enhancer in English Language,Skill- Enhancer in English Language"
"Malik, R S and Chabra, V",3,"Gree Tree: Environmental Studies,Integrated skill enhancer in english language,Integrated skill enhancer in english language"
"Malik, S",2,"Green Tree : Environmental Studies,Green Tree : Environmental Studies"
"Malik, S and Sahgal A",1,Getting Ahead in Social Studies
"Malik, S and Sahgal, A",2,"Getting Ahead Social Studies,Success with getting ahead in social science"
"Malik, S.",6,"Explorning Mathematics,GettingAhead in Social Studies,GettingAhead in Social Studies,GettingAhead in Social Studies,Green tree Environmental Studies,Success with Getting Ahead in social studies"
"Manchanda, R P?et all",1,Together woth Continuous and comprehensive Evalution in Science
"Manchanda, R P., Bhattacharya, A B and Goel. S K",2,"Together with : objective type questions 10,Together with Science with solution Term-2"
"Manchanda, R P., Bhattacharyya, A B and Goel, S K",2,"Together with Science with Solution , Term-1,Together with Science with Solution P Term-1"
"Mangalaprathaban, M.",2,"Real english : A multi - skill language course,Real english : A multi - skill language course"
"Manglik, G P",1,Fragrance : Moral Science
"Manglik, G.P.",1,Fragrance Moral Science
"Mani, T",1,Beginner''s Mathematics
"Mani, T.",1,Integrated Mathematics
"Maniya, Vibhuti; Mehta,Dayna",1,Computer shortcut keys
"Manocha,  Sharda",2,"Deep manika, class 7,Deep manika, class 8"
"Manu, R",1,Master Stroke : A step drawing series
"Manu,R",1,Let''s Learn english
"Manuja, S",6,"Dialogue 7,Dialogue Listening and speaking,Dialougue: A Speaking Listning Course for Cbse School,Dialougue: A Speaking Listning Course for Cbse School,Dialougue: A Speaking Listning Course for Cbse School,New Seasons : A course in Communicative english"
"Manuja, S and Tresslar, D",1,New Seasons : A course in Communicative english
"Manuja, S and Tressler, D A",1,New Seasons: A course of Communicative English
"manuja, S.",3,"New Seasons : A Course in communicative english,New Seasons : A Course in communicative english,New Seasons : A Course in communicative english"
"Marshall , Anne",1,Ripley''s Believe It or Not
Martin George R R,2,"A dance with dragons 1: dreams and dust,A game of thrones"
"Martin,Tony",1,Life is beautiful
"Martis, D G",2,"Grazoom Grammar,Grazoom Grammar Part 6"
"Martis, D.G",1,Grazoom Grammar
Mary J,2,"New milestones 6,The Times is now"
Mary Pope Osborne,5,"Magic tree house :  eve emperor of the penguin,Magic tree house : Pirates treasure !,Magic tree house : The knight at dawn,Magic tree house :adventure on the amazon,Magic tree House :valley of the dinosaurs"
"Masih, S and Arora, K",1,100% Succeess: Sample Question Papers in Business StudiesTerm-2
"Mathur, R",1,Computer Ahead : Information technology
Matthews Andrew; Ross Tony,3,"As you like it: a shakespeare story,Henry V,Julius Caesar"
"Matto, Jagat Jitendra",9,"Explore mathematics: class 1,Explore mathematics: class 2,Explore mathematics: class 4,Explore mathematics: class 5,Explore mathematics: class 6,Explore mathematics: class 7,Explore mathematics: class 8,Mathematics in everyday life,Mathematics in everyday life"
"Maurier, D D",1,REBECCA
May Andrew,1,Destination mars
"Mazumidar, M",1,Practical Biology
MBD,2,"Problem solving assessment- guide,Problem solving assessment- guide"
MD Books International,1,My big knowledge encyclopedia
"Mediratta, Mehul",1,Foundation of information theory
Meena Verma,6,"Business Studies,Business studies 11,Business studies 12,Business studies 12,Business Studies,part-A,Business Studies,part-B"
"Mehra, A, Hari, C and Mehra, S",2,"Joy of English : A course in literature and Langyage,Joy of English: A course in Literature and language"
"Mehra, A?et al",1,Joy of English : a Course in Literature and language
"Mehra, N Kumar, A and Narayanaswamy, R",1,Top more Score Mathematics
"Mehra, Shalu",4,"My english garden: a constructivist approach to language learning, class 1,My english garden: a constructivist approach to language learning, class 2,My english garden: a constructivist approach to language learning, class 5,My english garden: a constructivist approach to language learning, class 8"
"Mehrotra, B",3,"Voices: A multi skill course in english,Voices: A multi skill course in english,Voices: A multiskill course in English"
"Mehrotra, D",10,"Computer Learning,Computer Learning,Computer Learning,Computer Learning,Computer Learning,Step by step Computer Learning,Step by step Computer Learning: Information Technology,Step by step Computer Learning: Information Technology,Step by step Computer Learning: Information Technology,Step by step Computer Learning: Information Technology"
"Mehrotra, D and Mehrotra, Y",4,"Rapid revision in Computer science,Step By Step Computer Learning,Step by Step Computer Learning,Step by Step Computer Learning: Information technology"
"Mehrotra, D.",3,"Step by Step Computer learning,Step by Step Computer learning,Step by Step Computer learning"
"Mehrotra, S",8,"Brain Booster,Brain Booster,Brain Booster,Brain Booster,New Brain Booster,New Brain Booster,Riseup series GK 3,Start up gk 3"
"Mehrotra, S.",3,"Brain Booster,Brain Booster,Brain Booster"
"Mehrotra, Swati",7,"Brain booster,Brain booster,Brain booster,Brain booster,Riseup !GK 5,Riseup series gk,Riseup series GK 6"
"Mehta, N",1,Science Quest Primary Science
"Mehta, N.",2,"Longman Science Quest,Universal Science"
"Mehta, R",9,"Geography,Geography,Geography,History and Civics,History and Civics,Let's practice mathematics 6,Let's practice mathematics 7,Practise Mathematics 6,Practise Mathematics 7"
"Mehta, R.",1,Everyday Discoverry World
"Mehta, V K and Mehta, R",1,Principles of Physics
"Mehta,R.",1,Go Maths
"Mehtani, H",3,"Knowledge Hunt: General Knowledge,Knowledge Hunt: General Knowledge,Knowledge Hunt: General Knowledge"
"Mehtani, H.",1,Knowledge Hunt Gk.
"Mehtani, R.",1,Everyday Discoverry World
"Melville, Herman",1,Moby dick :Immortal illustrated classics
"Menezes, B.",4,"Periwinkle General Knowledge : An Environmental Approach,Periwinkle General Science : An Environmental Approach,Periwinkle General Science Course Book,Wonder World of General Science"
"Menon, L.",1,Living Science
Meyer Stephenie,1,Eclipse
"Minhas, D S",8,"Learning Computer,Learning Computer,Learning Computer,Learning Computer,Learning Computer,Learning Computer,Learning Computer,Learning Computer"
"Minhas, Davinder Singh",6,"Learning computer: class 4,Learning computer: class 5,Learning computer: class 8,Learning computers,Learning computers,Learning computers"
"Mirza, L",3,"Joy of Mathe mathematics 5,The Joy of Mathematics,The Joy of Mathematics"
"Mirza, L.",1,The joy of Mathematics
"Mirza, Villo",1,Handloom and handicraft of Gujarat
Mishra A,4,"Basic science 7,Biology,Understanding Mathematics  6,Understanding Mathematics 7"
"Mishra, A and Pasricha, A M",1,Tresure trove
"Mishra, Amarnath; Ojha Narmadeshwar and Sahay Anand Shankar",1,"Core Chemistry, class 12"
"Mishra, M and Sehgal, G",1,Social Sciences
"Mishra, N",2,"Information Technology,Information Technology"
"Mishra, N K and saha, L C",3,"Foundation science Biology, 10th standard,Foundation Science Biology, 9th standard,Foundation Science: Biology"
"Mishra, N.K.",3,"Foundation science  Biology,Foundation science  Biology,Foundation science  Biology"
"Mishra, P and Kumar, A",2,"ABC of Social sciences : History,ABC of Social Sciences: History"
"Mishra, R",4,"Exploring Horizons :  Environment Studies,Exploring Horizons : Environmental Studies,Fun with Science,Fun with Science"
"Mishra, R R",3,"Secondary Chemistry,Secondary Chemistry,Secondary Chemistry"
"Mishra, Sanjay",1,"Saral hindi vyakaran tatha rachana: class 9 & 10, course B"
"Mishra, Shyamj Chandra",2,"Sanskrit Sandarshika,Sanskrit Sandarshika"
"Mishra, U",1,ABC of Mathematics
"Mishra,Prem Mohan",1,Excel in chemistry
"Misra, A",1,Basic Science 6
"Misra, A and Pasricha, A M",2,"Tresure trove,Tresure trove"
"Misra, M.",1,Social Science
"Misra, R.",3,"CCE Edition Fun with Science,CCE Edition Fun with Science,Exploring Horizone Environmental Studies"
"Mittal, R S and Singal, S",2,"Laboratory Manual Physics,Madhurima : pathyapustak 5"
"Mittal, R S?et all",3,"Laboratory Manual Science,Laboratory Manual Science: Including MCQ to test the Practicle Skills,MCQ on Practicle skills in Science"
"Mittal, R S...et al",2,"Laboratory manual: Science,Laboratory manual: Science"
"Mittal, R.S.",1,Laboratory manual physics
"Mittal, V and Subramaniam, R",1,Laboratory Skills Physics
Modi Narendra,1,Exam Warriors
"Modi, S K",1,Godhra: The Missing rage
"Modi,Narendra",3,"Exam Warriors,Exam Warriors,Exam Warriors"
"Mohan, A",4,"Excellence in english,Excellence in english,Excellence in english,New edgeways : multiskill english 8"
"Mohan, A.",1,Excellence in english
"Mohan, R",2,"Mathesis : a book For Joyous Learning of Mathematics,Maths wisdom 6"
"Mohan, R and Sharma, V",5,"Mathville: A Frolic way to learn Mathematics,Mathville: A Frolic way to learn Mathematics,Mathville: A Frolic way to learn Mathematics,Mathville: A Frolic way to learn Mathematics,Mathville: A Frolic way to learn Mathematics"
"Mohan, R.",1,Mathville : A frolic way to learn Mathematics
"Mohan, Ram",6,"Maths wisdom 8,Unified maths,Unified maths,Unified maths,Unified maths,Unified maths"
"Mohanthy, S",1,Endless Words: The Frank General Knowledge Series
"Mohanty, S",1,Endless worlds? The Frank General Knowledge Series
"Mohanty, S.",2,"Endless world : The frank General Knowledge Series,The Frank GK. Series"
"Mohindra, K",1,Life Skill and values
"mohindra, K.",2,"Let''s Try?.. Value- Based Education,Life Skill and Value"
"Mohindra, S",1,Endless Worlds : the franks GK. Series
"Mohindroo, KK?et all",1,Empowering Science
"Mohindru, J P",2,"ABC of Mathematics,CBSE Term 2 Mathematics 12"
"Mohindru, J. P.",4,"Moderns abc mathematics: part 1, class 11,Moderns abc mathematics: part 1, class 12,Moderns abc mathematics: part 2, class 11,Moderns abc mathematics: part 2, class 12"
Mona Chawla,1,"Chemistry,class12"
"Monga, P and Ramchandran, K",1,Let''s Grow with Composite Mathematics
"monga, p.",1,Let''s Grow with Composite Mathematics
"Mongia, K",4,"Exam Mantra sample papers English Communicative,Exam Mantra sample papers English Communicative,Exam Mantra sample Question papers : English Communications,Exam Mantra sample Question papers : English Communications"
Moore C M & Moore K J,1,Sparrow : a multi skill course in english 8
"Moorthy, G , Deshpande, K and Narayana, V",1,Headstart Science
"Moorthy, G.",3,"Headstart Science,Headstart Science,Scitech Science and technology"
Morus Iwan Rhys,1,Michael faraday and the electrical century
"Mudit, M",1,Art and Craft
"Mukerjee, R.C.",2,"Ganesha is first & krishna lifts govardhan : 2 in 1,Modern approach to physical chemistry: application of the concept of equilibrium 1, class 12"
"Mukerjee, Ramendra C.",1,Modern approach to chemical calculations: an introducation to the modern concept
"Mukerji, S",1,ABC of Social science: History
Mukesh Kumar,2,"New era biology: textbook for class 10,New era biology: textbook for class 9"
"Mukherjee, A and Sen, G",1,Essays and Letters for Winners : Ideas for Creative Writing
"Mukherjee, Ayan; Mani, V. Jayendran",6,"Super computer based on window 7 and ms office 2010: class 3,Super computer based on window 7 and ms office 2010: class 4,Super computer based on window 7 and ms office 2010: class 5,Super computer based on window 7 and ms office 2010: class 6,Super computer based on window 7 and ms office 2010: class 7,Super computer based on window 7 and ms office 2010: class 8"
"Mukherjee, B and Saha T",1,Groth with English: Litrature Reader
"Mukherjee, B and Saha, T",7,"Grow with English,Grow with English,Grow with English,Grow with English,Grow with English,Grow with English,Grow with English"
"Mukherjee, B.& Saha, T.",1,Grow with English : Literature reader
"Mukherjee, N",2,"New Seasons : A course in Communicative english,New Seasons: A course of Communicative English"
"Mukherjee,N.",1,New Seasons : A Course in communicative english
"Mukherji, S?et al",2,"Our world Then and Now,Our world Then and Now"
"Mukherji, S.",10,"History And Civics,History And Civics,History And Civics,Our World Then And Now,Our world Then and now,Our World Then and Now Book 1,our world then and now book 2,Our World Then And Now Book 2,Our World Then And Now Book 3,Our World Then And Now Book 3"
"Mukherji, S...et al",1,Our World then now
"Mulla, S",1,Celebrate : An Activity Multi skills Course in English
Munshi Premchand,7,"21 Anmol kahaniya,Gaban,Gaban,Kafan,Karambhumi (Hindi),Pratigya (hindi),Premchand ki saravshesth Kahaniya"
Murphy Jill,4,"On the way Home,Peace at last,The worst witch and the wishing star,The worst witch and the wishing star"
Murphy Joseph,1,The miracles of your mind
"Murthi, A",8,"Grammar Magic,Grammar Magic,Grammar Magic,Grammar Magic 7,New Grammar Magic,New grammar magic 6,New grammar magic 7,New grammar magic 8"
"Murthi, R.K.",1,Albert Einstien: short biography
"Murthy, A.S.R.",1,New Radiant Core Mathematics
"Murthy, ASR and Prasad, VVD",1,Core Mathematics
"Murty, Sudha",11,"Dollar bahu,Gently falls the bakula,House of cards,Mahashweta,Something happened on the way to heaven,The daughter from wishing tree,The day I stopped drinking milk,The magic drum and other favourite stories,The mother i never knew,Three thousand stitches,Unusual tales from the MAHABHARATA"
"Nagaraj, G",2,"Grammar Express,Grammar Express"
"Nagarajan, P",6,"General Knowledge,General Knowledge,General Knowledge: with a special info and activity packed pull out,General Knowledge: with a special info and activity packed pull out,Quest a book of GK,Quest general knowledge"
"Nagarajan, P.",1,General Knowledge
"Naidu, V, Salomon, M B and Salomon, S",1,Gul Mohar
"Naidu,R. S.",1,Mathematics
"Nair, G.",1,The Blue Planet Environmental Studies
"Naithani, R M",3,"Speed Mathematics: Lab Manual Maltiple Choice Questions,Speed Mathematics: Maltiple Choice Questions,Speed Mathematics: Multiple choice Questions"
"Naithani, Rakesh Mohan",1,Speed mathematics
"Nambiar, S and Aneesh",4,"Connect with Mathematics,Connect with Mathematics,Connect with Mathematics,Connect with Mathematics"
Narang Shalini,4,"Creative social science 10,Scorewell in Social Science 10,Scorewell in Social Science 10,Scorewell in Social Science 9"
"Narang, M",2,"Our Environment,Our Environment:  Environment Studies"
"Narang, S and Pasricha, P",3,"Social Science,Social Science,Social Science, class 10"
"Narang,M.",1,Our Environmen Environmental Studies
"Narayan, Anita N.",8,"Nilima hindi pathypustak: class 1,Nilima hindi pathypustak: class 2,Nilima hindi pathypustak: class 3,Nilima hindi pathypustak: class 4,Nilima hindi pathypustak: class 5,Nilima hindi pathypustak: class 6,Nilima hindi pathypustak: class 7,Nilima hindi pathypustak: class 8"
"Narayanaswamy, R.",1,Top Score Mathematics
"Narendra Kumar; Malhotra, Satinder",4,"CBSE Question bank Physics termII 12,New era science practical for class 10, term 1 & 2,New era science practical for class 9, term 1 & 2,New era science practical: term 1 and 2, class 9"
"Nath, G",8,"English First Coursebook,English First Coursebook,Real English : A multi skill language course,Real English : A multi skill Language Course,Real English : A multi skill language course,Real English Workbook,Real English: A multiskill Language Course,Real English: A multiskill Language Course"
"Nath, G.",4,"Real english : A multi - skill language course,Real english : A multi - skill language course,Real english : A multi - skill language course,Real English : A multi-Skill Language Course"
Naveen Kishor,1,"10 sample question papers mathematics: term 2, class 9"
Navneet,4,"Foundation of Information 10,Rapid Revision Science and technology,Science and Technology Digest,Statistics"
"Nayak, A.",2,"Pearls :An integrated Course in English,Pearls An Integrated Course In English Coursebook"
"Nayar, Anita",2,"Magic lantern: an integrated course in english workbook, class 8,Magic lantern: an integrated course in english, teachers book class 6"
"Nayar, N",1,Networks: English across the curriculm
"Nayar, R",1,Economic
"Nayar, S and Bhartiya, R",1,Empoering Mental Math
"Nayar, S.",3,"Empowering Mental Math,Empowering Mental maths,Mathematics Success 7"
"Nayyar, A",3,"The canterville ghost: Oscar Wilde,The canterville ghost: Oscar Wilde,The Hound of the Baskervilles: Arthur convan Doyle"
"Nayyar, S P",1,Mental Mathematics : Work book and Test Papers
NCERT,77,"Accountancy: company accounts and analysis of financial statements, textbook for class 12,Accountancy: financial accounting, texbook for class 11, part 1,Accountancy: financial accounting, texbook for class 11, part 1,Accountancy: financial accounting, texbook for class 11, part 2,Accountancy: non for profit organisation and partnership accounts, texbook for class 12,An alien hand: supplementary reader in english for class 7,Bal mahabharat hindi ki purak pathypustak: class 7,Bal ramkatha hindi ki purak pathypustak: class 6,Bharat ki khoj hindi ki purak pathypustak: class8,Business studies: business finance and marketing, textbook in history for class 12, part 2,Business studies: principles and functions of management, textbook in history for class 12, part 1,Chemistry part 1 class 11,Chemistry part 2 class 11,Honeycomb: textbook in english for class 7,Honeydew: textbook in english for class 8,Honeydew: textbook in english for class 8,Honeydew: textbook in english for class 8,Honeysuckle: textbook in english f"
Needa Fatima,7,"Busy bees hindi pathamala: class 2,Busy bees hindi pathamala: class 3,Busy bees hindi pathamala: class 4,Busy bees hindi pathamala: class 5,Busy bees hindi pathamala: class 6,Busy bees hindi pathamala: class 7,Busy bees hindi pathamala: class 8"
"Neelakantan, M.",1,English First :A multi - skill language course
Neeraj,2,"English Grammar & Composition,English Grammar & Composition"
Neeraj and Unni V,1,Spark Social Studies
"Nilekani, N",1,Imaging India : Idea for the century
North Chris & Abel Paul,1,The sky at night how to read the solar system
"O' Cottage, T",6,"The canterville ghost: Oscar Wilde,The canterville ghost: Oscar Wilde,The Diary of a Young Girl: Anne Frank,The story of my Life,Three Men in a Boat: Jerome K Jerome,Three Men in a Boat: Jerome K Jerome"
"O'Brien, N and O'Brien B",2,"Englishville :coursebook 5,New Find out General Knowledge For Middle School"
"O'Brien, N.",2,"Information technology,Know and grow with derek"
"Oberai, G.",1,Environmental Studies
"Oberoi, G",6,"A Text book History,A Text Book of  History,Innovative : A text book of History,Innovative Geography : A Text book of Geography,Young Scienists: A text Book of Science,Young Scientists : A text Book of science"
"Oberoi, G.",2,"History,Innovative Geography"
Om Kidz,4,"365 fairy tales,365 folk tales,365 panchtantra stories,365 Science experiments"
"Orwell, George",3,"1984,Animal Farm,Animal farm"
"Osborne, J",1,Look Back in Anger:  A play in three acts
Oswaal,3,"Sample papers: maths,Sample papers: maths,Sample papers: science stream"
Oswaal Books,12,"Mathematics: Question bank with Complete solution,Question Bank : Physics,Question Bank with complete solution  in Science, term 1,Question Bank with complete solution  in Science, term 2,Question Bank with complete solution  in Social Science, term 1,Question Bank with complete solution problem solving assessment, Term 1&2,Question bank with solutions: open text based assessment-OTBA, summative assessment-2, term 2, class 9,Sample papers:Accountancy,Sample papers:Commerce Stream,Sample question papers : Accountancy,Sample question papers : Mathematics,Sample question papers : Mathematics , term 2"
OTBA,2,"Open text based assessments,Open text based assessments, term - 2"
Oxford English-Hindi dictionary,1,Oxford Hindi English Dictionary
P. Kumar,5,"Learnwell computers,Learnwell computers, class 1,Learnwell computers, class 2,Learnwell computers, class 3,Learnwell computers, class 4"
P.K. Singh,1,New Simplified Computers
Pagdi Gayatri,1,Lokmanya Tilak :the first national leader
"Pai, Roopa",10,"Bhagvat Gita,Taranauts : The quest for the shyn emeralds,Taranauts :the key to the Shimr Gitrines,Taranauts: the mystery of the syntilla silvers,Taranauts: the race for the glo rubies,Taranauts: the riddle of the lustr sapphires,Taranauts: the secret of the sparkl amethysts,Taranauts:the magic of the Dazl Corals,Taranauts:the search for the Glytr Turquoises,The magic of the dazl corals"
"Pal, A",1,The Magic pencil
"Pal, R",2,"English Grammar and Composition,Symphony English Reader"
"Pal, R and sharma, M",2,"The Around Me,The World Around Me"
"Pal, R.",6,"Interactive English,Interactive English,Interactive English,Interactive English Teachers Manual,Symphony English,Symphony English Reader"
"Pal, R..et al",1,Symphony English Reader
"Pal, Rajendra",9,"English grammar and compositon,English grammar and compositon,Essentials  of english grammar and compostion,Essentials  of english grammar and compostion,Essentials Of English Grammar ANd Composition,Essentials Of English Grammar And Composition,Essentials Of English Grammar And Composition,Essentials Of English Grammar And Composition,Symphony english reader"
"Pal, Y and Singh, j",3,"Secondary Biology: first and second,Secondary Biology: first and second,Secondary Biology: first and second"
"Panadiwal, J",4,"Summore Maths Practice ans Activities,Summore Maths Practice ans Activities,Summore Maths Practice ans Activities,Summore Maths Practice ans Activities"
"Panadiwal, Jyoti",2,"Summore maths practice and activities: class 2,Summore maths practice and activities: class 5"
"Panchal, S and Sabharwal, A",7,"Computer Science : Information Technology,Computer Science: Information Technonology for Class 1,Foundation of Information technology,Key Board : Computer Science with application Soft ware,KeyBoard : Computer Science: With Application Software,Keyboard Computer Science with Application Software,Keyboard Computer Science: With Application Software"
"Panchal, S.",2,"Computer Science Information Technology,Keyboard Computer Science With Application Software"
"Panchal, V",1,Question bank in Chemistry
"Pande, Bharti",9,"Jayanti : pathmala 6,Naya Utashav hindi pathamala: class 1,Naya Utashav hindi pathamala: class 2,Naya Utashav hindi pathamala: class 3,Naya Utashav hindi pathamala: class 4,Naya Utashav hindi pathamala: class 5,Naya Utashav hindi pathamala: class 6,Naya Utashav hindi pathamala: class 7,Naya Utashav hindi pathamala: class 8"
"Pande, Lalita",1,Hindi vyakaran
"Pande,P.C. & Jain, D.K",2,"Learning Sciece: Biology, class 10,Learning Sciece: Biology, class 9"
"Pandey Atul, Anand R.",2,"Project work in Business studies 11,Sample papers: Economics"
"Pandey, Atul",2,"Project in business studies 12,Sample papers: business studies"
"Pandey, D.C.",1,New patter physics: master practice book for JEE main and advanced
"Pandey, Himanshu",1,"Advanced problems in Organic Chemistry, for JEE"
"Pandey, Manohar",2,"General Knowledge 2017,General Knowledge 2017"
"Pandey, V K",1,Undestanding Information Technology
"Pandey, V K and Dey , D K",1,Understanding Information Technology
"Pandey, V K and Dey, D K",6,"Understanding Information Technology,Understanding Information Technology,Understanding Information Technology,Understanding Information Technology,Understanding Information Technology,Understanding Information Technology"
"Pandey, Vijay Kumar",4,"Understanding information technology,Understanding information technology,Understanding information technology,Understanding information technology"
"Pandit, R",4,"Computer vision,Computer Vision,Computer Vision,Computer Vision"
"Pandit, R.",2,"Computer Vision,Computer Vision"
"Pandit,H.",1,Social Studies
"Pandya, N M, Shah, D M and Lavingia, N",1,Practical in Physics
"Pandya, S",1,Exam Mantra sample Question papers : English Communications
"Pani, B",8,"Fundamental of Science,Fundamental of Science,Fundamental of Science,Fundamental of Science,Lab Manual in Science,Lab manual in science,Lab manual in science: Physics, Chemistry and Biology,Lab Manual in Science: with sample Question papers"
"Pani, B and Prakash, J",2,"Fundamentals of Science,Fundamentals of Science & Technology"
"Panjabi, S",5,"Computer: information Technology: Skillsheets,Computer: information Technology:Coursebook,Computer: information Technology:Coursebook,Computeter: Information tetchnology: Coursebook,Computeter: Information tetchnology: skillsheet"
"Pant, M",3,"Grammar Room,Grammar Room,Grammar Room"
"Pant, M.",3,"Grammar Room,Grammar Room,Grammar room"
"Pant, P",5,"Gulliver Travels: Jonathan Swift,Gulliver Travels: Jonathan Swift,Gulliver Travels: Jonathan Swift,Gulliver Travels: Jonathan Swift,The Hound of the Baskervilles: Arthur convan Doyle"
Paragon,1,Encyclopedia of world history:  ultimate guide to world''s past
"Parameswaran, R",1,Maths Xpress
"Parhi, S",2,"Science : Lab Manual,Science : Lab Manual"
Parikh Mohit,1,Manan
"Parikh, M C and Akhunji, U U",1,Practical in Biology
Parker Matt,1,Humble Pi
Parragon,1,"Our earth: the ultimate reference resource for the whole family, with over 500 photographs and illustrations"
"Parthasarathy, G",2,"On the xpreess way: A Communicative english course,On the xpreess way: A Communicative english course"
"Parwathy, A",1,Interactive Grammar English Enrichment Exercises
"Pasricha, A M",1,The Diary of a Young Girl: Anne Frank
"Pasricha, P",2,"Social Studies,Social Studies"
"Pasricha, P.",1,Environmental Studies
"Pathak, S. K.",1,In love with Mathematics
"Patil, S",2,"Computer : Information Technology,Computer: Information technology"
Pattanaik Devdutt,5,"An identity card for Krishna,Fun in devlok kama vs yama,The book of ram,The boys who fought,The girl who chose"
"Pattrea, M and Mishra, A",2,"Social Science,Social Science"
"Pattrea, Madhumita",1,"All in one social science, term2"
Paul T,1,Beginner''s Social Studies
"Paul, Anita.....et al",2,"Sciencespark,Sciencespark"
"Paul, G.",2,"Grammar Crossing : A book of english grammar and composition,Treasure of life : Learning values by conviction"
"Paul, G. R.J.M",1,Tresures of life: Value Education
"Paul, J C",2,"Social Studies,Social studies"
"Paul, J.",3,"Discovering Mathematics,Social Studies,Social Studies"
"Paul, J. C.",1,Path Finder Social Studies
"Paul, K S",3,"100% Succeess: Sample Question Papers in English Communicative Term-2,Silas Marner: George Eliot,Silas Marner: George Eliot"
"Paul, M",4,"Empowering Mental Math,Empowering Mental Math,Empowering Mental maths ; practice book 6,Social studies"
"Paul, P J and Gopal, R V",2,"Social Studies,Social Studies"
"Paul, P. J.",1,Social Studies
"Paul, PJ and Gopal RV",1,Social Studies
"Paul, T",2,"Beginners Social Studies,New Blossom for the yong"
"Paul, T.",2,"Beginner''s  Social Studies,Social Studies for the young"
Paul. G.,1,Quest for the Best : An intergrated learning program on Gk.
Peake Tim,1,Ask an Astronaut
"Pereira, C and Soans, F",1,We are the world: Value education and life skills
"Pereira, O",2,"Look Listen And Learn : New Approach English Reader,Look, Listen and Learn : A supplementary English Reader"
"Pereira, O.",1,Look listen & learn : New Approach English Rreader
"Pereira, Olive",2,"Look listen and learn,Look listen and learn"
"Pereira, R F S",1,Environmental Studies
"Pereira, S.",2,"Frank Environmental Studies,Frenk CCE Environmental  Studies"
"Peter, R F",1,Grammar Plus : With Composition
"Peter, R F M",2,"Grammar Plus with Composition,Grammar Plus with Composition"
"Phansalkar, S",1,Treasure of Life : A text cum Workbook on Value Education
Pichon Liz,12,"A tiny bit lucky,The brilliant world of tom gates,Tom gates : best book day ever (so far),Tom gates : everything amazing (sort of ),Tom gates : excellent excuses (and other good stuff),Tom gates : genius ideas (mostly),Tom gates : super good skills (almost),Tom gates : top of the class (nearly),Tom gates : yes! no (maybe..),Tom Gates :super good skills almost,Tom gates is absolutely fantastic,Tom gates: dog zombies rule (for now)"
Pillai Radhakrishnan,1,Katha Chanakya
"Pillai, A and Paruthi,I",2,"Biology,New era Biology part 2"
"Piramal, Gita",1,Business legends
"Pithadia K ,Dutta Sanjay,Durgesh",3,"Butterfly :coursebook 5,Growing with grammar 6,Growing with grammar 7"
Poonam Gandhi,2,"Business Studies,Business studies 11"
"Poulose, A P",3,"Begineers Computer Science,Beginner''s Computer Science,Computer Science"
"Poulose, A.P",1,Beginners Computer Science
